,dbn,school_name,num_test_takers,reading_avg_score,math_avg_score,writing_avg_score
86,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411
87,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351
88,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467
90,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361
91,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373
92,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
93,04M495,PARK EAST HIGH SCHOOL,51,373,379,376
94,04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395
95,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448
96,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357
97,04M680,"HERITAGE SCHOOL, THE",31,358,351,345
98,05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333
99,05M304,MOTT HALL HIGH SCHOOL,54,413,399,398
101,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342
102,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
103,05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385
104,05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442
105,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
106,05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355
107,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
108,06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416
109,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367
110,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399
112,06M457,GEORGE WASHINGTON YABC,7,394,357,346
113,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378
114,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349
115,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361
116,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402
117,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423
118,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326
119,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348
120,07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382
121,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311
124,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357
125,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371
126,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404
127,07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411
128,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391
129,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363
130,07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361
131,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383
132,07X551,BRONX ACADEMY OF LETTERS,51,413,381,407
133,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364
134,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370
135,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364
137,08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378
138,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389
139,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394
140,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340
141,08X312,MILLENNIUM ART ACADEMY,67,387,402,375
142,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350
145,08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376
146,08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393
147,08X408,HERBERT H. LEHMAN YABC,6,402,373,413
149,08X452,BRONX GUILD,39,369,371,365
151,08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356
152,08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377
154,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368
155,08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399
156,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376
157,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349
158,09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374
159,09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
160,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
161,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382
162,09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356
163,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457
164,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356
165,09X276,LEADERSHIP INSTITUTE,30,361,353,367
166,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376
168,09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391
169,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297
170,09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339
171,09X404,SCHOOL FOR EXCELLENCE,32,363,360,351
172,09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351
173,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402
174,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379
175,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
176,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369
177,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388
178,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371
179,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440
180,10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365
181,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394
182,10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
183,10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370
184,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302
185,10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385
187,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301
188,10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383
189,10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
190,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330
191,10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365
192,10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
193,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372
194,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367
195,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352
196,10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410
197,10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427
198,10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649
199,10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339
200,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414
202,10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354
203,10X549,DISCOVERY HIGH SCHOOL,55,372,379,364
204,10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356
205,10X667,GRACE DODGE YABC,10,350,356,317
206,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636
207,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382
208,11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390
209,11X265,BRONX LAB SCHOOL,81,377,391,367
210,11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361
211,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354
212,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433
213,11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383
214,11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391
215,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353
217,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416
218,11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368
220,11X513,NEW WORLD HIGH SCHOOL,72,332,381,335
221,11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363
222,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375
223,11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419
224,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365
225,11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382
226,12X245,NEW DAY ACADEMY,25,348,344,354
227,12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341
228,12X251,EXPLORATIONS ACADEMY,57,381,381,360
229,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360
230,12X267,BRONX LATIN,36,408,432,411
231,12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358
232,12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364
233,12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298
235,12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349
238,12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398
239,12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312
240,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341
241,12X684,WINGS ACADEMY,66,378,374,362
242,12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376
243,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349
244,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373
245,13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418
246,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356
247,13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384
248,13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395
249,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587
250,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312
251,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389
252,13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368
253,13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403
255,13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379
256,13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394
257,13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431
258,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392
260,13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448
261,13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
262,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359
264,14K404,ACADEMY FOR YOUNG WRITERS,68,387,357,381
265,14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570
266,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396
267,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371
268,14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395
269,14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396
270,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350
271,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364
272,14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380
273,14K586,LYONS COMMUNITY SCHOOL,31,371,377,355
274,14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350
275,14K632,FRANCES PERKINS ACADEMY,12,382,372,368
276,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341
278,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383
279,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387
280,15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394
281,15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381
282,15K464,PARK SLOPE COLLEGIATE,72,379,416,380
283,15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392
284,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385
285,15K520,PACIFIC HIGH SCHOOL,9,352,341,300
287,15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368
288,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,411
290,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425
291,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358
292,16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362
293,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358
294,16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351
296,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369
297,17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351
299,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334
300,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291
301,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388
302,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
303,17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372
304,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340
305,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368
306,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441
307,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369
308,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414
309,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373
310,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373
311,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335
312,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479
313,17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413
314,17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355
316,18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330
317,18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394
318,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377
319,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346
320,18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379
321,18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351
322,18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359
323,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386
324,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381
325,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393
326,18K635,OLYMPUS ACADEMY,7,400,370,370
327,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367
328,18K642,URBAN ACTION ACADEMY,40,376,385,374
329,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378
330,19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394
333,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333
334,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342
335,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383
336,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370
337,19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286
338,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380
339,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354
340,19K639,BROOKLYN LAB SCHOOL,57,360,385,363
341,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368
342,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363
343,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374
344,20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399
345,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424
346,20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411
347,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375
349,20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316
350,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314
351,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408
352,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378
353,21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393
356,21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467
357,21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390
358,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365
359,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356
360,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376
361,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435
362,21K728,LIBERATION DIPLOMA PLUS,10,411,369,373
363,22K405,MIDWOOD HIGH SCHOOL,824,478,519,476
364,22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439
365,22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370
366,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542
367,22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440
368,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387
369,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359
